 ,1,2,4,8,16
200,101156,137119,167432,213837,290143
300,419086,520604,640525,758669,853611
500,855657,825148,755753,633252,1031032
750,1345597,1105158,1650043,1233793,1346813
1000,4109703,2558992,2394614,2535042,1941410
1500,15293506,12014914,10879104,9164597,8599659
2000,38449079,24410174,23162032,24248665,24829264
3000,245488024,164574278,144349395,119748590,120001915
4000,801657457,438621105,506313634,474713177,556406892
