 ,1,2,4,8,16
200,354395,747251,225928,622881,440683
300,578017,587275,562706,545618,563485
500,827049,739836,705355,760506,768526
750,2061202,2034358,2060746,1976084,2331855
1000,4503820,3421145,3260578,3302101,3959955
1500,15247638,15797177,16221927,14831483,14999959
2000,40849538,41808958,52886042,25654954,40070927
3000,92000406,36361845,110145406,26667321,738414
4000,801657457,438621105,506313634,474713177,556406892
